Earn Quiz,,,,,,,,,,,,Spend (offer info)Amazon GiftCard,,,,,,,,,
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 14 characters,Description = MarketPlace subtitle 18 characters,Image,OrderTitle = (transactions page),OrderDescription = (transactions page),CapTotal = Offer cap total,CapPerUser = Offer cap per user,PollQuestionId,PollPageType (82 charachters),PollDescription,PollRewardText,PollRewardValue,PollAnswer1 = #1 : 22 each answer.,PollAnswer2 =  #2 : 22 each answer.,PollAnswer3 =  #3 : 22 each answer.,PollAnswer4 =  #4:  22 each answer.,rightAnswer = index of right answer,amount = kin amount for this question
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Quiz #1,30,Take a quiz,Kik,https://cdn.kinecosystem.com/thumbnails/offers/quiz_1.png,Quiz,Completed,1000,1,1,TimedFullPageMultiChoice,"
When was Kik founded?",Finish the quiz to earn,${amount},2006,2009,2008,2002,2,10
,,,,,,,,,,,2,TimedFullPageMultiChoice,What was Kik's first product?,Finish the quiz to earn,${amount},Chat,Music Sharing,Recipe Book,Guide To Waterloo,2,10
,,,,,,,,,,,3,TimedFullPageMultiChoice,What's Ted Livingston's favorite T-shirt color?,Finish the quiz to earn,${amount},Yellow,Black,Purple,Red,3,10
,,,,,,,,,,,,SuccessBasedThankYou,,,,,,,,,10
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Quiz #2,30,Take a quiz,Nobel Prize,https://cdn.kinecosystem.com/thumbnails/offers/quiz_2.png,Quiz,Completed,1000,1,1,TimedFullPageMultiChoice,The first winner of the Nobel Prize from Asia was...?,Finish the quiz to earn,${amount},C. V. Raman,Rajiv Gandhi,Rabindranath Tagore,Mother Teresa,3,10
,,,,,,,,,,,2,TimedFullPageMultiChoice,The Nobel Prize was first awarded in...?,Finish the quiz to earn,${amount},1976,1958,1901,1972,3,10
,,,,,,,,,,,3,TimedFullPageMultiChoice,The Nobel Peace Prize is awarded in...?,Finish the quiz to earn,${amount},Oslo,Stockholm,Brussels,Geneva,1,10
,,,,,,,,,,,,SuccessBasedThankYou,,,,,,,,,10
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Quiz #3,30,Take a quiz,Tech,https://cdn.kinecosystem.com/thumbnails/offers/quiz_3.png,Quiz,Completed,1000,1,1,TimedFullPageMultiChoice,"The computer abbreviation ""OS"" stands for?",Finish the quiz to earn,${amount},Order of Significance,Operating System,Open Software,Optical Sensor,2,10
,,,,,,,,,,,2,TimedFullPageMultiChoice,Who developed Yahoo?,Finish the quiz to earn,${amount},Ritchie &Thompson,Filo & Yang,Cerf & Kahn,Case & Bezos,2,10
,,,,,,,,,,,3,TimedFullPageMultiChoice,"The computer abbreviation ""DB"" usually stands for?",Finish the quiz to earn,${amount},Database,Double Byte,Data Block,Driver Boot,1,10
,,,,,,,,,,,,SuccessBasedThankYou,,,,,,,,,10
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Quiz #4,30,Take a quiz,Bitcoin,https://cdn.kinecosystem.com/thumbnails/offers/quiz_4.png,Quiz,Completed,1000,1,1,TimedFullPageMultiChoice,"In 2010, Laszlo Hanyecz bought two pizzas with Bitcoin. How much did he spend?",Finish the quiz to earn,${amount},"1,000,000 BTC","100,000 BTC","10,000 BTC",100 BTC,3,10
,,,,,,,,,,,2,TimedFullPageMultiChoice,"At the time of the pizza purchase, how much were the bitcoins worth?",Finish the quiz to earn,${amount},$103.00 US,$41.00 US,$43.00 US,$22.00 US,2,10
,,,,,,,,,,,3,TimedFullPageMultiChoice,Small fractions of Bitcoin are called...,Finish the quiz to earn,${amount},Saromashi,Sashimi,Sauromani,Satoshi,4,10
,,,,,,,,,,,,SuccessBasedThankYou,,,,,,,,,10
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Quiz #5,30,Take a quiz,Canada,https://cdn.kinecosystem.com/thumbnails/offers/quiz_5.png,Quiz,Completed,1000,1,1,TimedFullPageMultiChoice,Canada population is...,Finish the quiz to earn,${amount},"34,287,919","36,937,913","42,367,998","29,876,453",2,10
